geoJson,estacao,latitude,longitude
Nova Iguaçu,Nova Iguaçu,-22.760743070849077,-43.44943616870533
Comendador Soares,Comendador Soares,-22.744159956903395,-43.488991839671286
Austin,Austin,-22.720321443121655,-43.52275666233279
Queimados,Queimados,-22.716257290424608,-43.55614691720896
Engenheiro Pedreira,Engenheiro Pedreira,-22.678758378455345,-43.60610227936631
Japeri,Japeri,-22.64428908973351,-43.65298328184818
Silva Freire,Silva Freire,-22.90394103348385,-43.275609917790014
Lages,Lages,-22.622064996535645,-43.704391165073766
Paracambi,vazio,-22.611969681127967,-43.711155564426235
Vila Militar,Vila Militar,-22.86249044952347,-43.40186839639445
Magalhães Bastos,vazio,-22.86799783500719,-43.413225265663264
Realengo,Realengo,-22.874774481245584,-43.42945256514278
Padre Miguel,Padre Miguel,-22.875101748901564,-43.447424866810984
Bangu,Bangu,-22.875351058301163,-43.464882236644364
Guilherme da Silveira,vazio,-22.875228483359322,-43.45602580356144
Santíssimo,Santíssimo,-22.879815353846293,-43.511643784011966
Senador Camará,Senador Camará,-22.875817196589896,-43.486638752424305
Augusto Vasconcelos,Augusto Vasconcelos,-22.89284756600269,-43.53715413591881
Santa Cruz,Santa Cruz,-22.915947560389224,-43.68469172832077
Paciência,Paciência,-22.916320168643725,-43.63269238249182
Tancredo Neves,Tancredo Neves,-22.91890512588051,-43.64938603698358
Cosmos,Cosmos,-22.91281158912484,-43.614606785670425
Inhoaíba,Inhoaíba,-22.90913063420387,-43.59573754999222
Campo Grande,Campo Grande,-22.902275429666087,-43.56027519177419
Benjamin do Monte,vazio,-22.906229423022317,-43.580688701683606
Manguinhos,Manguinhos,-22.879741922170517,-43.25088376989795
Bonsucesso,Bonsucesso,-22.867307389102464,-43.255455880437154
Ramos,Ramos,-22.85509122280998,-43.26009246196014
Olaria,Olaria,-22.847186665677075,-43.266363310331776
Penha,Penha,-22.840383967060625,-43.27862603206062
Penha Circular,Penha Circular,-22.836634243663973,-43.28504288396995
Brás de Pina,Brás de Pina,-22.830387729038055,-43.29300286502593
Cordovil,Cordovil,-22.824015074858508,-43.29592477843627
Parada de Lucas,Parada de Lucas,-22.816661760748747,-43.300743814420606
Vigário Geral,Vigário Geral,-22.80513068110223,-43.30546508321482
Duque de Caxias,Duque de Caxias,-22.78770107269678,-43.309591464824486
Corte 8,vazio,-22.772814982368093,-43.30677763081806
Gramacho,Gramacho,-22.751737702016936,-43.30412024537124
São Bento,vazio,-22.732035600888057,-43.30029117116411
Campos Elíseos,vazio,-22.70434224303979,-43.28127303155304
Jardim Primavera,Jardim Primavera,-22.6907241821698,-43.26282279203241
Saracuruna,Saracuruna,-22.678185547827432,-43.24753546500238
Central do Brasil,Central do Brasil,-22.903535618369766,-43.19185678154062
Morabi,vazio,-22.658890212182875,-43.23050654805676
Imbariê,vazio,-22.6426137992521,-43.21995431691974
Manoel Belo,vazio,-22.630984388589262,-43.210868743173535
Parada Angélica,vazio,-22.621141254118317,-43.20315112134595
Piabetá,vazio,-22.609829958231817,-43.17973316160545
Fragoso,vazio,-22.589012723919556,-43.184227085138026
Vila Inhomirim,vazio,-22.571332052316187,-43.18472346901594
Honório Gurgel,Honório Gurgel,-22.850395889446194,-43.356328269843225
Rocha Miranda,Rocha Miranda,-22.854446854412526,-43.35193994856195
Mercadão de Madureira,Mercadão de Madureira,-22.87302630217643,-43.33693803159595
Cavalcanti,vazio,-22.87461757613406,-43.315752090811436
Tomás Coelho,Tomás Coelho,-22.869012330011632,-43.30397814876404
Pilares,vazio,-22.880947053716596,-43.29156542677657
Del Castilho,Del Castilho,-22.880414235950678,-43.26976618105388
Barros Filho,Barros Filho,-22.833211364460453,-43.366560443219996
Costa Barros,Costa Barros,-22.82168705556151,-43.37017876738827
Pavuna,Pavuna,-22.805759863254732,-43.36673390382408
Jacarezinho,Jacarezinho,-22.883767098382407,-43.255082518021126
Triagem,Triagem,-22.89669501421145,-43.24414031008119
Agostinho Porto,Agostinho Porto,-22.78860148722624,-43.38161868089488
Vila Rosali,Vila Rosali,-22.793857321201163,-43.375380260147764
Coelho da Rocha,Coelho da Rocha,-22.77876216527878,-43.38747924230148
Belford Roxo,Belford Roxo,-22.763866742418166,-43.39993158962814
Mangueira,Mangueira,-22.908466671639864,-43.236778396192086
Praça da Bandeira,Praça da Bandeira,-22.909833778622797,-43.21283320275998
Maracanã,Maracanã,-22.909284074631312,-43.23374384027401
Méier,Méier,-22.90172976568372,-43.27803387213385
Engenho de Dentro,Engenho de Dentro,-22.89550595224983,-43.29374281927732
Piedade,Piedade,-22.890693375300877,-43.30935203529037
Quintino Bocaiúva,Quintino Bocaiúva,-22.88870008047905,-43.320542166142026
Cascadura,Cascadura,-22.882695498102592,-43.32806876050364
Madureira,Madureira,-22.876646152403172,-43.33754524305068
Osvaldo Cruz,vazio,-22.869192756433748,-43.350139621632415
Bento Ribeiro,Bento Ribeiro,-22.864433082515717,-43.3610090254873
Marechal Hermes,Marechal Hermes,-22.8607661891711,-43.37106843405772
Deodoro,Deodoro,-22.855021711374867,-43.38349320081187
Engenho Novo,Engenho Novo,-22.903453095951072,-43.2708292115307
Sampaio,Sampaio,-22.90201512551715,-43.262751683993336
Riachuelo,vazio,-22.901422155293172,-43.255256743702255
São Francisco Xavier,São Francisco Xavier,-22.90260839777097,-43.24426361207324
São Cristóvão,São Cristóvão,-22.909383848592228,-43.22198665832472
Parque Estrela,vazio,-22.650630926017502,-43.20876544147223
Barão de Mauá,vazio,-22.654768207533852,-43.16687757255477
Guapimirim,vazio,-22.520248382392985,-42.97756250399668
Parada Modelo,vazio,-22.546664913578248,-42.98531165547197
Parada Bananal,vazio,-22.537402009068764,-42.9822278721056
Jardim Guapimirim,vazio,-22.563115344683315,-42.99510179703073
Parada Ideal,vazio,-22.58031433192204,-43.005803108730895
Citrolândia,vazio,-22.593934878255347,-43.01569814510014
Jorará,vazio,-22.605886118660454,-43.02502701245639
Jardim Nova Marilia,vazio,-22.636411187849838,-43.03038535177687
Magé,vazio,-22.653014546208226,-43.04056632878608
Iriri,vazio,-22.653189462489003,-43.06668755843561
Sururuí,vazio,-22.662979457470545,-43.1294502189845
Anchieta,Anchieta,-22.824651941744886,-43.4029460936646
Edson Passos,Edson Passos,-22.79621606710798,-43.4226318900949
Nilópolis,Nilópolis,-22.809227067831777,-43.41469988675084
Mesquita,Mesquita,-22.782564007105677,-43.42863575480756
Olinda,Olinda,-22.817411612763994,-43.40999764821859
Ricardo de Albuquerque,Ricardo de Albuquerque,-22.839665031994624,-43.39825142908925
